CODIGO5;DESCRICAO5;UN5;CODNCM5
'0000265;'SUPL. MIN. CAPULP. CRESCIMEN. 25KG;UN;'23099010
'0000266;'SUPL. MIN. CAPULP. 160 25KG;UN;'23099010
'0000267;'SUPL. MIN KI-LAMB PRO SECA 30KG;UN;'23099010
'0000268;'SUPL. PROTMIN. KI-LAMB 35 30KG;UN;'23099010
'0000269;'RACAO CAPULHORSE PEL. 15% 40KG;UN;'23099010
'0000271;'RACAO CAP. N. AVE INICIAL Q 20KG;UN;'23099010
'0000272;'RACAO CAP. N. AVE ENGORDA Q 20KG;UN;'23099010
'0000273;'RACAO CAPULN. SUIN. TERM. 14% 40KG;UN;'23099010
'0000274;'CONC. CAPULN SUIN CRES/TERM40K;UN;'23099010
'0000275;'FARELO DE SOJA 46% 40KG;UN;'23099010
'0000276;'MILHO GRAO 50 KG    BLOQUEADO;UN;'23099010
'0000277;'FARELO DE MILHO FINO 40 KG;UN;'23021000
'0000278;'RACAO CAP.N. AVES POSTURA Q 40KG;UN;'23099010
'0000279;'AEROCID T SPRAY X 500ML;UN;'38089192
'0000280;'BOIFLIN 200G;VDR;'30049059
'0000281;'DIAZINON 40 PM DISP;UN;'29335932
'0000282;MATERIAL DE ESCRITORIO E PAPELARIA;UN;'28289011
'0000283;'BUSCOFIN INJ.50ML;FR;'30049079
'0000284;'CEF 50  100ML;UN;'30045090
'0000285;'DEXTAR 50 ML;UN;'30043290
'0000286;'DIURAX 50MG/ML INJ 5ML;UN;'30049076
'0000287;'BIOBAC 34G;UN;'23099090
'0000288;'FLUATAC DUO 1000ML;UN;'30049099
'0000289;APLICADOR POUR ON;UN;'84248990
'0000291;'SERINGA 1ML INSULINA;UN;'90183111
'0000292;'SERINGA DESC. 03ML;UN;'90183119
'0000293;SOLUTION LT;UN;'30049099
'0000294;'SOLUTICK 5L;UN;'30049099
'0000295;'EXCELLER 500ML;UN;'30049059
'0000296;'BIOXAN COMPOSTO VALLEE 500ML;UN;'30049099
'0000298;'VALLEECALCIO 500ML;UN;'30049099
'0000299;'OXITRAT LA PLUS 100ML;UN;'30042029
'0000300;'BIOXELL 100ML;UN;'30042059
'0000302;'EXCELLER 50 ML;UN;'30049059
'0000303;'RANGER 500 MML;UN;'30049059
'0000304;'LANCER 500ML;UN;'30043999
'0000305;'MOV ORGANICO 500ML;UN;'30045020
'0000306;'HEPATOXAN VALLE 100ML;UN;'30049099
'0000307;'OXITRAT LA PLUS 50ML;UN;'30042029
'0000308;'DEXIN FR AMP C/ 5ML;UN;'30049099
'0000309;'FLOPFRAGA BISNAGA C/ 100 G;UN;'23099090
'0000310;'RUMINOL FR C/ 100ML;UN;'30049099
'0000311;'ATROPINA 10ML;UN;'30044990
'0000312;'FARMARON - 200G;UN;'33049990
'0000313;'CIUREX PET FR C/ 4 COMP;UN;'30049063
'0000314;SACOLAS PLASTICAS;KG;'39232910
'0000317;'SUPL. MIN. CAPULP.15% UREIA 25KG (SAL MINERAL);KG;'23099010
'0000318;'NUCLEO QUELAPHOS MILK MBT 25KG;UN;'23099010
'0000320;'RACAO CAPULL 22% M FAR. 40KG;UN;'23099010
'0000321;'RACAO CAPULH. POTRO P. 18% 40KG;UN;'23099010
'0000322;AMINO GOLD;UN;'23099010
'0000323;METRICURE;FR;'30042059
'0000324;BIO COMBATT PREMIUM;UN;'23099010
'0000325;'CIOSIN INJETAVEL 2ML;UN;'30049099
'0000326;'D-500 DIPIRONA  50ML;UN;'30049069
'0000327;'ECP10 ML;UN;'30043939
'0000328;'RIPERCOL L ORAL 250ML;UN;'30049071
'0000329;'VAMPIRICID PASTA 50G;UN;'38089999
'0000330;'PULFO INSET. CARRAP. PIOLHO 100G;UN;'30049059
'0000331;'PULFO INSETICIDA CARRAP. 1KG;UN;'38089199
'0000332;'PULFO TALCO INSET. CARRAP. 100GR;UN;'30049059
'0000333;ESCOVA PARA TANQUE COM CABO DE ALUMINIO;UN;'84349000
'0000334;'ESCOVA BOCAL 2 (CABO PLASTICO);UN;'84349000
'0000335;ESCOVA MANIVELA (CABO PLASTICO);UN;'84349000
'0000336;'FILTRO 320X58 MM (PCT C/ 100 UNID);UN;'56031230
'0000337;BARATOL GEL;UN;'38085929
'0000338;FORMITOL GEL;UN;'38085929
'0000339;RATOL GIRASSOL DOMESTICO;UN;'38089996
'0000340;'RATOL GRAO DE CEREAIS 25G;UN;'38089996
'0000341;'RATOL PO DE CONTATO 250G;UN;'38089996
'0000342;'RATOL PO DE CONTATO 1KG;UN;'38089996
'0000346;'TOP LIGHT 2X20 LAMPADA;UN;'85395200
'0000347;'LAMPADA  FLUOR COMP 3U 127V 20W BRANCA;UN;'85392190
'0000348;'TORNEIRA METAL 1/2;UN;'84818099
'0000349;'SILICON 50G TRANSPARENTE;UN;'32141010
'0000350;'MANG.FLEX PLUS 1/2X2.0MM AMARELA C/300;UN;'39173100
'0000351;'LAMPADA  FLUOR COMP ESPIRAL T2 15W 127V BRANCA;UN;'85392190
'0000352;'REGISTRO ESFERA 1 METAL;UN;'84818095
'0000353;'REGISTRO ESFERA 3/4 METAL;UN;'84818095
'0000354;'REGISTRO ESFERA 1/2 METAL;UN;'84818095
'0000355;'DISJUNTOR TERMOMAGNETICO C010;UN;'85362000
'0000356;'DISJUNTOR TERMOMAGNETICO C16;UN;'85362000
'0000357;'DISJUNTOR TERMOMAGNETICO C20;UN;'85362000
'0000358;'DISJUNTOR BIP16A;UN;'85362000
'0000359;'DISJUNTOR BIP 25A;UN;'85362000
'0000360;'UNGUENTO FRIEZOL 250GR;UN;'38089196
'0000361;'MAMADEIRA 2L;UN;'39269090
'0000362;'ATADURA CREPON CREMER 15CM X 125M;UN;'30059090
'0000363;'CB-30  1LT;UN;'38089429
'0000364;'PENCIVET 50ML;UN;'30041019
'0000365;'CIDENTAL UNG. 250G;VDR;'38089199
'0000366;'CIDENTAL 250 ML;UN;'38089199
'0000367;'MOGIFLOX 50ML;UN;'30049067
'0000368;'MOGIMEC 50ML;UN;'30049059
'0000370;'MOGIMEC 500ML;UN;'30049059
'0000371;'PIRENTAL 20ML;UN;'30049099
'0000372;'TRIGENTAL 40G;UN;'30049067
'0000374;'TURBO CALCIO 500ML;UN;'30049023
'0000375;'PRO- BEZERRO SERINGA 5ML;UN;'30041013
'0000376;'PRO- BEZERRO 50ML;UN;'30041013
'0000377;'MASTITE CLINICA VL 8G;UN;'30041012
'0000378;'INTRA SEC VS 8G;UN;'30041019
'0000379;'DICLOFENACO JA 100ML;UN;'30049037
'0000380;'VETSULFA 100ML;UN;'30049072
'0000381;'MASTISSULFA 50ML;UN;'30049072
'0000382;'VACINA FUSOGARD 20ML;FR;'30024290
'0000383;LACTOTROPIN;UN;'30043911
'0000385;'GENTRIN INF UTER 100ML;UN;'30042061
'0000386;'SINCROCIO 4ML;UN;'30043939
'0000387;'VOSS RICO ORAL 250ML;UN;'30049063
'0000388;'ADE CORTE E LEITE 100ML INJETAVEL;UN;'30045040
'0000389;'COMBO POUR-ON 1LT;UN;'38089192
'0000390;'CURSEON 10X10 G;UN;'30042069
'0000391;'EBULIDOR 220V;UN;'85168090
'0000392;'CYPERMETRIL PULV. BANHO 20ML;UN;'30049099
'0000393;'SHAMPOO CHARMDOG CAR. SAP. 250ML;UN;'30049099
'0000394;'COLLARGOLINA 10ML;UN;'30049099
'0000395;'OCITOCINA FORTE UCB 100 ML;UN;'30043922
'0000396;MASTIZONE VS;UN;'30042061
'0000397;SORO ANTIOFIDICO;UN;'30021211
'0000398;'TRATT UNGUENTO 300GS;UN;'30049099
'0000399;'COLEIRA ANTIPULGAS TRATTO 17G;UN;'30043939
'0000400;'SORO ANTITETANICO  1 DOSE;UN;'30021212
'0000401;'INIBIDEX 1ML;UN;'30043911
'0000402;APLICADOR PRE DIPPING ESPUMA;UN;'84349000
'0000403;QUALIDERM CREME HIDRATANTE;UN;'33072090
'0000407;'RACAO CAP.N. AVES INICIAL Q 40KG;UN;'23099010
'0000408;'RACAO CAPUL C PERFORM VMAX 40 KG;UN;'23099010
'0000410;'LAMPADA  FLUOR COMP ESPIRAL 45W 220V BRANCA;UN;'85392190
'0000411;'LAMPADA  FLUOR 4U 34W 127V DL;UN;'85392190
'0000412;'LAMPAPA FL 45W 127DL;UN;'85392190
'0000413;'LAMPADA  FLUOR 3U 15W 220V DL;UN;'02109919
'0000414;'GLUCAFOS FRASCO C/200ML;UN;'30049029
'0000415;'IMIZOL INJ 15 ML;UN;'30049069
'0000416;'NUFLOR INJ 50ML;UN;'30042019
'0000417;'IVER-VET ADE 500ML;UN;'30039079
'0000418;APLICADOR DE IODO SEM RETORNO;UN;'84342090
'0000419;CANECA PARA TESTE (COMPLETA);UN;'39269090
'0000420;'K-OTHRINE BAYER 30ML;UN;'38086100
'0000421;'K-OTHORINE CE 25 BAYER 250ML;UN;'38086100
'0000422;'BOCIODO 100ML;UN;'30049099
'0000423;'PHENODRAL  15ML C/3 AMP;UN;'30049059
'0000424;'PLACENTINA  10ML;UN;'30043922
'0000425;BICARBONATO DE SODIO;SC;'31052000
'0000426;PARAFUSO  SOBERBA  CHAVE PHILLIPS;UN;'73181500
'0000427;PARAFUSO  CHAVE PHILLIPS;UN;'73181200
'0000428;PARAFUSO CAB. CHATA MADEIRA DIVERSOS;UN;'73181500
'0000429;PARAFUSO CABECA PANELA;UN;'73181500
'0000430;'BUCHA PLASTICA C/ ANEL 6;UN;'90178010
'0000431;NAO UTILIZAR/BUCHA PLASTICA DIVERSAS;UN;'73181500
'0000432;'BUCHA PLASTICA C/ ANEL 10MM;UN;'90178010
'0000433;'PARAFUSO FORRAGEIRA 7/16 X 20;UN;'73181500
'0000434;'PARAFUSO FRANCES 3/8 X 2;UN;'73181500
'0000435;'PARAFUSO FRANCES 3/8 X 3;UN;'73181500
'0000436;'PARAFUSO FRANCES 3/8 X 4;UN;'73181500
'0000437;'PARAFUSO FRANCES 3/8 X 7;UN;'73181500
'0000438;'PARAFUSO FRANCES 3/8 X 2.1/2;UN;'73181500
'0000439;'PARAFUSO FRANCES 3/8 X 3.1/2;UN;'73181500
'0000440;'PARAFUSO FRANCES 3/8 X 5.1/2;UN;'73181500
'0000441;'PARAFUSO FRANCES 5/16 X 2;UN;'73181500
'0000442;'PARAFUSO FRANCES 5/16 X 4;UN;'73181500
'0000443;'PARAFUSO FRANCES 5/16 X 7;UN;'73181500
'0000444;'PARAFUSO FRANCES 5/16 X 1.1/2;UN;'73181500
'0000445;'PARAFUSO FRANCES 5/16 X 2.1/2;UN;'73181500
'0000446;'PARAFUSO FRANCES 3/8 X 5;UN;'73181500
'0000447;'PARAFUSO FRANCES 5/16 X 5.1/2;UN;'73181500
'0000448;'PARAFUSO FRANCES 3/8 X 6;UN;'73181500
'0000449;'PARAFUSO FRANCES 5/16 X 8;UN;'73181500
'0000450;'PORCA 1/4;UN;'73181600
'0000451;'ARRUELA LISA 1/2;UN;'73182200
'0000452;'QUEBRA DEDO 3/8;UN;'84329000
'0000453;'QUEBRA  7/16;UN;'84329000
'0000454;PROTETOR AUDITIVO CO POLIMERO;UN;'40151900
'0000455;BOTINA COURO ELASTICO/ BIQUEIRA;UN;'64011000
'0000456;BOTINA COURO ELASTICO;UN;'64051010
'0000457;'SOLUTION L.A. 3 5% 1L;VDR;'30049059
'0000458;'ESTICADOR P/ CORDOALHA 1/2X35CM;UN;'73181900
'0000459;'ESTICADOR P/ CORDOALHA 1/2X30CM;UN;'73181900
'0000460;'ESTICADOR P/ CORDOALHA 1/2X40CM;UN;'73181900
'0000461;'DOB. FERRADURA 00;UN;'83021000
'0000462;'DOB. FERRADURA 02;UN;'83021000
'0000463;'DOB. FERRADURA 03;UN;'83021000
'0000464;'TRAMELA P/ CURRAL 5/8;UN;'83024900
'0000465;'TRAMELA P/ CURRAL 3/4;UN;'83024900
'0000466;'BATENTE P/ PORTEIRA 1/2;UN;'83024900
'0000467;ROLAMENTO P/ TRONCO C/ PUXADOR;UN;'83024100
'0000468;ROLETE P/ TROCO C/ PUXADOR;UN;'83024100
'0000469;'ALAVANCA ACO 1X1 80M;UN;'82051000
'0000470;'ESPICHADEIRA AR. LISO 7/8;UN;'82055900
'0000471;ESTICADOR P/ ARAME FARPADO;UN;'82055900
'0000472;ALICATE P/ ARAME LISO;UN;'82032010
